timestamp,kmax_cost,skype_cost,trks_cost
1477968110.0,873060.0,1028268.0,730440.0
1477968120.0,885936.0,1033290.0,728940.0
1477968130.0,899544.0,1030752.0,738600.0
1477968140.0,920088.0,1060560.0,754800.0
1477968150.0,924588.0,1083780.0,719580.0
1477968160.0,926496.0,1064772.0,716760.0
1477968170.0,936792.0,1074708.0,726720.0
1477968180.0,959796.0,1086804.0,692460.0
1477968190.0,967956.0,1087398.0,689700.0
1477968200.0,967512.0,1087722.0,689700.0
1477968210.0,963096.0,1088532.0,677880.0
1477968220.0,961032.0,1090152.0,682140.0
1477968230.0,952920.0,1074276.0,683820.0
1477968240.0,945372.0,1072818.0,687060.0
1477968250.0,949524.0,1072818.0,687060.0
1477968260.0,964632.0,1108512.0,687600.0
1477968270.0,956484.0,1118016.0,689220.0
1477968280.0,950472.0,1092852.0,680640.0
1477968290.0,917148.0,1012608.0,681180.0
1477968300.0,929016.0,1016928.0,681180.0
1477968310.0,944088.0,984366.0,700920.0
1477968320.0,941880.0,990360.0,686100.0
1477968330.0,955488.0,989550.0,676980.0
1477968340.0,966696.0,972162.0,681060.0
1477968350.0,959856.0,1012662.0,681060.0
1477968360.0,971268.0,1020006.0,651720.0
1477968370.0,957324.0,964386.0,585960.0
1477968380.0,957900.0,928206.0,589920.0
1477968390.0,955692.0,924858.0,585180.0
1477968400.0,928668.0,896130.0,592860.0
1477968410.0,940020.0,917730.0,594360.0
1477968420.0,959484.0,883980.0,595620.0
1477968430.0,959508.0,906768.0,595620.0
1477968440.0,958560.0,898452.0,602400.0
1477968450.0,965160.0,910710.0,591660.0
1477968460.0,967752.0,926964.0,606240.0
1477968470.0,977640.0,937872.0,616020.0
1477968480.0,983880.0,990306.0,616020.0
1477968490.0,972384.0,982098.0,583740.0
1477968500.0,980952.0,1014930.0,583740.0
1477968510.0,1007052.0,1020060.0,583740.0
1477968520.0,1011732.0,993492.0,681780.0
1477968530.0,1006320.0,990198.0,679920.0
1477968540.0,994200.0,1002780.0,621840.0
1477968550.0,1000956.0,1050138.0,621840.0
1477968560.0,1014708.0,1027458.0,608220.0
1477968570.0,999792.0,982098.0,608760.0
1477968580.0,983088.0,980100.0,605880.0
1477968590.0,989724.0,972810.0,606720.0
1477968600.0,1021884.0,969354.0,692520.0
1477968610.0,1021284.0,969624.0,692520.0
1477968620.0,1036920.0,958878.0,692520.0
1477968630.0,1026300.0,951966.0,692460.0
1477968640.0,1026588.0,940410.0,684780.0
1477968650.0,1039908.0,949050.0,688920.0
1477968660.0,1054872.0,946944.0,687300.0
1477968670.0,1055556.0,982584.0,687660.0
1477968680.0,1063788.0,996300.0,687660.0
1477968690.0,1078032.0,1026594.0,687660.0
1477968700.0,1075908.0,1040040.0,707160.0
1477968710.0,1080312.0,1030374.0,696180.0
1477968720.0,1080240.0,1042092.0,702480.0
1477968730.0,1091328.0,1049220.0,709260.0
1477968740.0,1117548.0,1082322.0,710040.0
1477968750.0,1116336.0,1019466.0,633300.0
1477968760.0,1117224.0,1020492.0,660000.0
1477968770.0,1114884.0,1029078.0,660600.0
1477968780.0,1110672.0,1021248.0,661140.0
1477968790.0,1123416.0,1021572.0,655500.0
1477968800.0,1152696.0,1044036.0,637320.0
1477968810.0,1170648.0,1053702.0,733980.0
1477968820.0,1186932.0,1070550.0,751980.0
1477968830.0,1154292.0,1075302.0,738840.0
1477968840.0,1191036.0,1106028.0,740100.0
1477968850.0,1202856.0,1106568.0,731160.0
1477968860.0,1194984.0,1121688.0,751260.0
1477968870.0,1192152.0,1120068.0,768600.0
1477968880.0,1184604.0,1121418.0,769200.0
1477968890.0,1176912.0,1112832.0,761460.0
1477968900.0,1177104.0,1112832.0,773340.0
1477968910.0,1167972.0,1074060.0,775440.0
1477968920.0,1160856.0,1078812.0,842040.0
1477968930.0,1183848.0,1091826.0,824640.0
1477968940.0,1177836.0,1109916.0,826680.0
1477968950.0,1247784.0,1180656.0,827400.0
1477968960.0,1233480.0,1193940.0,896100.0
1477968970.0,1263216.0,1243998.0,895620.0
1477968980.0,1254876.0,1222722.0,875760.0
1477968990.0,1244916.0,1217484.0,876300.0
1477969000.0,1248924.0,1218132.0,875520.0
1477969010.0,1252668.0,1247724.0,867180.0
1477969020.0,1259388.0,1235520.0,867960.0
1477969030.0,1269972.0,1244970.0,899160.0
1477969040.0,1255968.0,1248264.0,900540.0
1477969050.0,1245924.0,1226070.0,868500.0
1477969060.0,1234848.0,1193886.0,870120.0
1477969070.0,1251516.0,1199178.0,894000.0
1477969080.0,1233468.0,1193670.0,894600.0
1477969090.0,1236468.0,1159056.0,910740.0
1477969100.0,1258212.0,1161162.0,936780.0
1477969110.0,1245444.0,1130112.0,889260.0
1477969120.0,1228080.0,1113264.0,864300.0
1477969130.0,1206468.0,1064664.0,864300.0
1477969140.0,1235052.0,1064826.0,855840.0
1477969150.0,1237704.0,1042254.0,876420.0
1477969160.0,1248768.0,1033560.0,857100.0
1477969170.0,1250796.0,1022598.0,843480.0
1477969180.0,1237548.0,1017306.0,789720.0
1477969190.0,1214232.0,1005318.0,829440.0
1477969200.0,1210224.0,962712.0,829440.0
1477969210.0,1198380.0,998622.0,830400.0
1477969220.0,1184556.0,968382.0,830400.0
1477969230.0,1172004.0,962118.0,831600.0
1477969240.0,1173960.0,955800.0,831600.0
1477969250.0,1168920.0,958878.0,832500.0
1477969260.0,1161048.0,965844.0,850500.0
1477969270.0,1160940.0,966168.0,850980.0
1477969280.0,1160412.0,956826.0,868980.0
1477969290.0,1158168.0,973188.0,870000.0
1477969300.0,1164852.0,1003104.0,888780.0
1477969310.0,1161276.0,1009800.0,882360.0
1477969320.0,1146252.0,1041930.0,815700.0
1477969330.0,1145604.0,1040688.0,814440.0
1477969340.0,1086624.0,1053054.0,794700.0
1477969350.0,1092864.0,1055430.0,773280.0
1477969360.0,1070700.0,1023462.0,771240.0
1477969370.0,1042656.0,1022760.0,775800.0
1477969380.0,1018380.0,1031292.0,735960.0
1477969390.0,1020852.0,1088262.0,728760.0
1477969400.0,1018032.0,1086156.0,728760.0
1477969410.0,1026780.0,1087182.0,713820.0
1477969420.0,1014432.0,1083834.0,611520.0
1477969430.0,1014720.0,1084158.0,611520.0
1477969440.0,1007196.0,1083888.0,608100.0
1477969450.0,990540.0,1056888.0,607920.0
1477969460.0,988044.0,1002294.0,608520.0
1477969470.0,976596.0,1001754.0,608520.0
1477969480.0,964716.0,1001916.0,634740.0
1477969490.0,973032.0,1023192.0,663900.0
1477969500.0,968916.0,999000.0,662520.0
1477969510.0,945504.0,916974.0,671760.0
1477969520.0,929844.0,921726.0,650460.0
1477969530.0,926736.0,913842.0,650040.0
1477969540.0,941196.0,900990.0,643080.0
1477969550.0,913332.0,844776.0,643080.0
1477969560.0,910236.0,820368.0,649260.0
1477969570.0,931008.0,833328.0,666240.0
1477969580.0,932136.0,811728.0,662340.0
1477969590.0,929652.0,796770.0,672720.0
1477969600.0,933540.0,785052.0,705540.0
1477969610.0,923916.0,776412.0,705540.0
1477969620.0,909444.0,734454.0,691140.0
1477969630.0,900336.0,734886.0,668400.0
1477969640.0,890136.0,753192.0,670140.0
1477969650.0,914040.0,845748.0,679860.0
1477969660.0,909936.0,853254.0,647580.0
1477969670.0,920664.0,839430.0,685260.0
1477969680.0,892332.0,875880.0,598260.0
1477969690.0,885792.0,875988.0,606420.0
1477969700.0,899076.0,924642.0,590220.0
1477969710.0,906372.0,936198.0,590580.0
1477969720.0,896292.0,936846.0,590580.0
1477969730.0,880104.0,937332.0,590940.0
1477969740.0,892308.0,937062.0,590460.0
1477969750.0,900660.0,912492.0,594060.0
1477969760.0,883572.0,927342.0,595440.0
1477969770.0,857976.0,903690.0,595080.0
1477969780.0,860916.0,900072.0,595080.0
1477969790.0,884880.0,952884.0,595680.0
1477969800.0,871992.0,953262.0,606720.0
1477969810.0,869760.0,952020.0,614880.0
1477969820.0,863820.0,946782.0,613620.0
1477969830.0,863100.0,940356.0,614640.0
1477969840.0,873768.0,918648.0,626520.0
1477969850.0,870828.0,902718.0,655500.0
1477969860.0,873816.0,901746.0,665880.0
1477969870.0,868896.0,892404.0,668760.0
1477969880.0,869028.0,834840.0,726360.0
1477969890.0,851508.0,742014.0,727020.0
1477969900.0,854880.0,737586.0,745440.0
1477969910.0,864264.0,753786.0,746040.0
1477969920.0,847212.0,718470.0,740040.0
1477969930.0,831840.0,718362.0,700320.0
1477969940.0,821724.0,685098.0,718560.0
1477969950.0,827388.0,704322.0,726360.0
1477969960.0,828456.0,704322.0,770700.0
1477969970.0,817680.0,700650.0,766140.0
1477969980.0,838752.0,678402.0,807840.0
1477969990.0,834672.0,686934.0,779400.0
1477970000.0,830976.0,688230.0,769800.0
1477970010.0,819396.0,688554.0,711960.0
1477970020.0,816528.0,688878.0,746100.0
1477970030.0,814860.0,671598.0,770220.0
1477970040.0,814428.0,706698.0,700620.0
1477970050.0,802284.0,725706.0,714420.0
1477970060.0,809424.0,726138.0,733440.0
1477970070.0,811668.0,723222.0,733800.0
1477970080.0,811872.0,751032.0,715620.0
1477970090.0,820452.0,749466.0,716220.0
1477970100.0,827820.0,748818.0,704700.0
1477970110.0,837816.0,759294.0,727320.0
1477970120.0,827520.0,796230.0,727680.0
1477970130.0,842904.0,783054.0,768000.0
1477970140.0,847164.0,801792.0,768540.0
1477970150.0,851220.0,808380.0,766920.0
1477970160.0,840564.0,807570.0,774180.0
1477970170.0,852648.0,815400.0,786900.0
1477970180.0,848244.0,906606.0,789840.0
1477970190.0,847068.0,929448.0,789840.0
1477970200.0,856824.0,933876.0,790200.0
1477970210.0,858228.0,934308.0,792060.0
1477970220.0,853500.0,935280.0,784800.0
1477970230.0,852636.0,928962.0,787620.0
1477970240.0,860016.0,928962.0,788340.0
1477970250.0,834432.0,930150.0,769320.0
1477970260.0,834156.0,914868.0,771120.0
1477970270.0,817812.0,914868.0,779700.0
1477970280.0,805488.0,882306.0,726420.0
1477970290.0,803652.0,885600.0,713640.0
1477970300.0,819576.0,897318.0,744660.0
1477970310.0,823512.0,918810.0,739140.0
1477970320.0,832200.0,919242.0,739140.0
1477970330.0,838068.0,925884.0,734760.0
1477970340.0,833892.0,925884.0,756240.0
1477970350.0,820248.0,926856.0,751560.0
1477970360.0,813936.0,890028.0,738960.0
1477970370.0,803292.0,885708.0,737340.0
1477970380.0,793236.0,916434.0,709740.0
1477970390.0,810180.0,979884.0,736560.0
1477970400.0,816732.0,979884.0,737400.0
1477970410.0,796872.0,959040.0,726240.0
1477970420.0,773448.0,918270.0,691260.0
1477970430.0,773604.0,925722.0,691860.0
1477970440.0,751260.0,922104.0,703800.0
1477970450.0,749388.0,922320.0,681000.0
1477970460.0,752556.0,903096.0,681600.0
1477970470.0,742008.0,896454.0,678840.0
1477970480.0,748512.0,908226.0,681780.0
1477970490.0,754812.0,907146.0,711240.0
1477970500.0,759012.0,907146.0,709980.0
1477970510.0,749100.0,923616.0,683100.0
1477970520.0,742716.0,929448.0,658980.0
1477970530.0,743904.0,912546.0,633000.0
1477970540.0,739956.0,882792.0,633000.0
1477970550.0,763716.0,904068.0,633360.0
1477970560.0,760812.0,904068.0,647400.0
1477970570.0,761016.0,878310.0,618660.0
1477970580.0,777744.0,878634.0,626460.0
1477970590.0,790176.0,906066.0,623640.0
